country	iso3	num1	name	num2	ourid	abbreviation	oecdabb	oecdtype	t	t1	t2	t_ws	t_wse	t_as	t_asp	t_asm	t_asmo	t_as_n	t_ashtml	t_aspdf	t_ase	t_ar	t_armin	t_armax	t_ar_n	t_are	t_amr	t_ami	t_amint	t_amcso	t_am_n	t_amhtml	t_ampdf	t_o	t_on	t_oc	t_o_n	t_ohtml	t_opdf	t_odb	t_adm	t_admmin	t_admy	t_admc	t_adm_n	t_admhtml	t_admpdf	t_admdb	t_admu	t_st	t_stmin	t_sty	t_std	t_st_n	t_sthtml	t_stpdf	t_stdb	t_stu	t_sts	t_sts_n	t_stshtml	t_stspdf	t_stsdb	t_sto	t_tiati	t_ttrans	t_tmech	t_t_n	t_cemg	t_cesp	t_ctel	t_cad	t_c_n	t_oda	t_oda_n	t_odahtml	t_odapdf	t_odadb	t_odagni	t_odagni_n	t_odagnihtml	t_odagnipdf	t_odagnidb	t_split	t_splitu	t_split_n	t_rec	t_reca	t_recal	t_recy	t_rec_n	t_rechtml	t_recpdf	t_recdb	t_sec	t_seca	t_secal	t_secy	t_sec_n	t_sechtml	t_secpdf	t_secdb	t_ch	t_cha	t_chal	t_chy	t_ch_n	t_chhtml	t_chpdf	t_chdb	t_aqpd	t_aq	t_aq_n	t_aq_u	t_aqhtml	t_aqpdf	t_aqdb	t_pa	t_pamin	t_pay	t_pau	t_pac	t_pav	t_pa_n	t_pao	t_aeae	t_aegov	t_aeap	t_ae_n	t_aehtml	t_aepdf	t_aedb	t_c	t_t	t_am	fl	fl_y	fl_status	as	as_y	as_need	as_int	as_enl	as_merit	am_aid	am_excl	am_spend	am_shared	am_sub	am_aut	am_field	am_autint	am_intc	am_cso	at_iati	at_iati_rule	at_tran	at_cor	at_comp	at_iunit	website
"Austria"	"AUT"	1.0	"Federal Ministry of Finance"	1	"1-1"	"AUT-MF"	"BMF"	1	-0.424455	-0.10928739	-0.45430407	1	1	0								0					0	0	0	0				1	1	0	5	0	1	0	1	2019	4	0	2	0	1	0	1	1	2019	5	1	4	0	1	0	1	1	4	0	1	0	0	0	0	0		1	1	1	1	1	0					0					0			0								1	1	1	1	4	0	1	0	0			0					0	0						0								0	0	0					1.0	0.0	0.0	0			0						0	0				"Inf"	0				0	0	1	1	1	1	"https://www.bmf.gv.at/en.html"
"Austria"	"AUT"	1.0	"Federal Ministry of Agriculture, Regions and Tourism"	10	"1-10"	"AUT-AE"	"BMLRT"	2	-0.47565368	-0.05672903	-0.58157957	1	1	0								0					0	0	0	0				1	1	0	3	0	1	1	0									1	2020	1	0	6	0	1	0	0	1	4	1	0	0	1	0	1	0	3	1	1	0	1	0	0					0					0			0								0								0								0	0						0								1	0	0	3	1	1	0	1.0	1.0	0.0	0			0							0		0	0	"Inf"	0		0	0	0	0	1	1	0	1	"https://www.bmlrt.gv.at/english/"
"Austria"	"AUT"	1.0	"Federal Ministry of Defense"	11	"1-11"	"AUT-DEF"	"BMLV"	2	-0.46873513	-0.63943195	-0.32719475	1	1	1	1	0	1	1	0	1	1	0					0	0	0	0	1	0	1	0							0									0									0					0	0	1	0	1	1	1	0	1	1	1	1	0	1	0	0					0			0								0								1								0	0						0								0	0	0					1.0	1.0	0.0	0			1	2013	1	1	0	1	0	0		0	0		1		1	0	0	0	1	1	0	1	"https://www.bundesheer.at/english/"
"Austria"	"AUT"	1.0	"Federal Ministry of Interior"	12	"1-12"	"AUT-INT"	"BMI"	2	-0.8738563	-0.6152291	-0.8283067	1	0	0								0					0	0	0	0				1	1	1	2	1	1	1	0									1		1	0	3	1	0	0	0	0					1	0	0	0		1	1	1	1	1	0					0					0			0								0								0								0	0						0								0	0	0					1.0	0.0	0.0	0			0						0	0		0	0		0		0		0	0	0	1	1	1	"https://www.bmi.gv.at/"
"Austria"	"AUT"	1.0	"Austrian Development Bank"	13	"1-13"	"AUT-ADB"	"OeEB"	5	1.241927	1.3284237	0.9307858	1	1	1	1	1	1	2	1	1	1	1	2014	2019	2	1	1	0	0	0	0	1	1	0							1	2019	1	1	3	0	1	0	1	1	2019	2	0	2	1	0	0	1	1	3	0	1	0	1	0	1	0	3	1	1	1	1	1	1	2	1	1	0	0					0			1	0	0		2	1	0	0	1	0	0		2	1	0	0	0								0	1	2	1	1	1	0	1	2019			1	1	2	0	1	1	1	2	1	1	0	1.0	1.0	1.0	1	2008	1	1	2019	1	1	1	1	0	0	29.0	0	1	"Inf"	0		1	0	0	0	1	1	1	1	"https://www.oe-eb.at/en/"
"Austria"	"AUT"	1.0	"Federal Government of Austria/BReg"	3	"1-3"	"AUT-FG"	"BReg"	2	-0.32806814	-0.02325258	-0.45430407	1	1	1	1	0	1	4	1	1	1	0					0	0	0	1	4	0	1	1	1	0	5	0	1	1	0									0									0					0	0	1	0	4	1	1	1	1	1	0					0					0			0								1	0		0	4	1	1	0	0								0	0						0								0	0						1.0	1.0	1.0				1	2020	1	0	1	0	0	0				"Inf"	0		0	1	0	0	1	1	0	1	"https://www.bundeskanzleramt.gv.at/en.html"
"Austria"	"AUT"	1.0	"Oesterreichische Kontrollbank AG"	4	"1-4"	"AUT-OKAG"	"OeKB"	4	-0.415469	0.51704437	-0.8283067	1	1	1	0	0	1	4	1	1	1	0					0	0	1	0	3	1	0	1	1	0	3	0	1	0	0									0									1	3				1	0	1	0	3	1	0	1	1	1	0					0					0			0								0								0								0	0		0	0	0	0	0								0	0						1.0	1.0	1.0	0			1		1	1	1	0	0	0		0	1	"EUR 50 billion"	0			0	0	0	1	1	0	1	"https://www.oekb.at/en/"
"Austria"	"AUT"	1.0	"BMeiA"	5	"1-5"	"AUT-BMeiA"	"BMEIA"	1	0.48726583	-0.02325258	0.7247055	1	1	1	1	1	1	3	1	1	1	0					1	0	1	0	3	1	0	1	1	1	2	1	0	1	0									0									0					0	0	1	0	4	1	0	1	1	1	0					0					0			1	0							1	0							1				3	1	0	0	1	1	4	0	1	1	0	0								1	1	1	4	1	1	0	1.0	1.0	1.0	1	2002	1	1	2020	1	0	1	1	1	0	6.42	0	0		0		1	1	0	0	1	1	1	1	"https://www.bmeia.gv.at/en/"
"Austria"	"AUT"	1.0	"Federal Chancellery"	7	"1-7"	"AUT-FC"	"BKA"	2	-0.9433653	-0.8237225	-0.8283067	1	1	0								0					0		0	0				1	1	1	5	0	1	1	0									1	2021	1	1	6	1	0	1	0	0					0	0	0	0	0	1	1	1	1	1	0					0					0			0								0								0								0	0						0								0	0	0					1.0	0.0	0.0	0			0						0	0			0		0				0	0	0	0	0	1	"https://www.bundeskanzleramt.gv.at/en.html"
"Austria"	"AUT"	1.0	"Austrian Development Agency"	8	"1-8"	"AUT-ADA"	"ADA"	1	1.8314165	1.2008334	1.9961164	1	1	1	1	1	1	3	1	1	1	1	1999	2020	3	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2019	14	0	2	1	1	0	0	1	2021	1	1	1	1	0	0	1	0					1	0	1	0	5	1	1	1	1	0	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	16	2	1	1	1	1	1	1	14	2	1	1	1	1	0		14	2	0	1	0	1	1	2	0	0	1	0	1	2021	22	15	1	1	4	0	1	1	1	1	1	0	0	1.0	1.0	1.0	1	2002	1	1	2019	1	1	1	1	1	1		1	1	"0"	1	"0"	1	1	0	0	1	1	1	1	"https://www.entwicklung.at/en/"
