iso3	ourid	transparencypercent	gk_transparency	abbreviation	ep_transparency	ati_index	overall_16	overall_16_new
"AUT"	"1-1"	73	0.22	"AUT-MF"				
"AUT"	"1-10"	73	0.22	"AUT-AE"				
"AUT"	"1-11"	73	0.22	"AUT-DEF"				
"AUT"	"1-12"	73	0.22	"AUT-INT"				
"AUT"	"1-13"	73	0.22	"AUT-ADB"				
"AUT"	"1-3"	73	0.22	"AUT-FG"				
"AUT"	"1-4"	73	0.22	"AUT-OKAG"				
"AUT"	"1-5"	73	0.22	"AUT-MEIA"				
"AUT"	"1-7"	73	0.22	"AUT-FC"				
"AUT"	"1-8"	73	0.22	"ADA"	0.5	19.100000381469727		
"AUT"	"1-9"	73	0.22	"AUT-ES"				
"SWE"	"10-2"	58	0.1	"SWE-MFA"		53.20125961303711	80.7	80.7
"SWE"	"10-22"	58	0.1	"SWE-SWEDFUND"				
"SWE"	"10-6"	58	0.1	"SWE-SIDA"	0.667	60.380001068115234		
"SWE"	"10-71"	58	0.1	"SWE-ECGB"				
"CHE"	"11-1"	73	-0.4					
"CHE"	"11-10"	73	-0.4	"CHE-ENVIROCAT"				
"CHE"	"11-22"	73	-0.4					
"CHE"	"11-4"	73	-0.4	"CHE-SDC"	0.389	18.079999923706055	45.4	45.4
"CHE"	"11-5"	73	-0.4	"CHE-SECO"	0.5			
"CHE"	"11-6"	73	-0.4	"CHE-MFA"				
"CHE"	"11-7"	73	-0.4	"CHE-MER"				
"CHE"	"11-8"	73	-0.4	"CHE-FOM"				
"CHE"	"11-9"	73	-0.4	"CHE-MDCS"				
"GBR"	"12-1"	86	0.23	"GBR-FCDO"	0.722	52.50864028930664		
"GBR"	"12-10"	86	0.23	"GBR-DOH"				
"GBR"	"12-11"	86	0.23	"GBR-BIS"				
"GBR"	"12-12"	86	0.23	"GBR-DCMS"				
"GBR"	"12-2"	86	0.23	"GBR-PLC"				
"GBR"	"12-4"	86	0.23	"GBR-DECC"				
"GBR"	"12-5"	86	0.23	"GBR-ECGD"				
"GBR"	"12-6"	86	0.23	"GBR-HO"				
"GBR"	"12-7"	86	0.23	"GBR-Defra"				
"GBR"	"12-8"	86	0.23	"GBR-MOD"		12.029999732971191		
"GBR"	"12-9"	86	0.23	"GBR-DWP"				
"FIN"	"18-1"	39	0.26	"FIN-FG"				
"FIN"	"18-2"	39	0.26	"FIN-FinnFund"				
"FIN"	"18-3"	39	0.26	"FIN-MFA"	0.5	30.607749938964844	38.5	38.5
"FIN"	"18-72"	39	0.26	"FIN-FinnVera"				
"BEL"	"2-1"	69	-0.15	"Enabel"	0.444			
"BEL"	"2-10"	69	-0.15	"BEL-DGCD"	0.5	23.399999618530273	47.7	47.7
"BEL"	"2-22"	69	-0.15					
"BEL"	"2-31"	69	-0.15	"BEL-DNO"				
"ISL"	"20-1"	39		"ICE-MFA"				
"IRL"	"21-1"	58	0.62	"IRE-MFA"	0.111	26.649999618530273	37.0	37.0
"IRL"	"21-2"	58	0.62	"IRE-MOF"				
"IRL"	"21-3"	58	0.62	"IRE-MAFM"				
"LUX"	"22-1"	86	-0.47	"LUX-LD"				
"LUX"	"22-2"	86	-0.47	"LUX-MFA"	0.222	19.200000762939453		
"DNK"	"3-1"	58	0.61	"DNK-MFA"		41.409969329833984	64.7	64.7
"DNK"	"3-2"	58	0.61	"DNK-DANIDA"	0.222			
"DNK"	"3-3"	58	0.61	"DNK-IFU"				
"DNK"	"3-72"	58	0.61	"DNK-EKF"				
"CAN"	"301-1"	86	-0.08	"CAN-CIDA"	0.5	62.58000183105469		
"CAN"	"301-2"	86	-0.08	"CAN-IDRC"				
"CAN"	"301-22"	86	-0.08					
"CAN"	"301-31"	86	-0.08	"CAN-EDC"				
"CAN"	"301-4"	86	-0.08	"CAN-MOF"				
"CAN"	"301-7"	86	-0.08	"CAN-DEF"				
"CAN"	"301-8"	86	-0.08	"CAN-MPC"				
"USA"	"302-1"	85	-0.35	"USA-USAID"	0.833	44.290000915527344	59.1	59.1
"USA"	"302-11"	85	-0.35	"USA-SD"		22.139999389648438	53.9	53.9
"USA"	"302-12"	85	-0.35	"USA-USTDA"				
"USA"	"302-14"	85	-0.35	"USA-HHS"				
"USA"	"302-15"	85	-0.35	"USA-DOJ"				
"USA"	"302-16"	85	-0.35	"USA-DOC"				
"USA"	"302-17"	85	-0.35	"USA-DOL"				
"USA"	"302-18"	85	-0.35	"USA-MCC"	0.444	86.9000015258789	89.6	89.6
"USA"	"302-19"	85	-0.35	"USA-DHS"				
"USA"	"302-2"	85	-0.35	"USA-USDA"				
"USA"	"302-20"	85	-0.35	"USA-DOE"				
"USA"	"302-21"	85	-0.35	"USA-IAF"				
"USA"	"302-22"	85	-0.35	"USA-OPIC"				
"USA"	"302-23"	85	-0.35	"USA-FTC"				
"USA"	"302-24"	85	-0.35	"USA-NRC"				
"USA"	"302-25"	85	-0.35	"USA-NSF"				
"USA"	"302-26"	85	-0.35	"USA-USDOT"				
"USA"	"302-27"	85	-0.35	"USA-USIP"				
"USA"	"302-28"	85	-0.35	"USA-OWLC"				
"USA"	"302-29"	85	-0.35	"USA-USPS"				
"USA"	"302-30"	85	-0.35	"USA-EOP"				
"USA"	"302-31"	85	-0.35	"USA-EIB"				
"USA"	"302-32"	85	-0.35	"USA-USEPA"				
"USA"	"302-6"	85	-0.35	"USA-DOT"		36.49652862548828	58.1	58.1
"USA"	"302-7"	85	-0.35	"USA-DEF"		31.04528045654297	46.7	46.7
"USA"	"302-9"	85	-0.35	"USA-DOI"				
"FRA"	"4-10"	86	-0.4	"FRA-MINEFI"		12.170000076293945	9.2	9.2
"FRA"	"4-12"	86	-0.4	"FRA-MOI"				
"FRA"	"4-13"	86	-0.4	"FRA-AGRI"				
"FRA"	"4-14"	86	-0.4	"FRA-DEF"				
"FRA"	"4-17"	86	-0.4	"FRA-MEN"				
"FRA"	"4-3"	86	-0.4	"FRA-AFD"	0.667	31.549989700317383	45.2	45.2
"FRA"	"4-43"	86	-0.4	"FRA-COF"				
"FRA"	"4-44"	86	-0.4					
"FRA"	"4-45"	86	-0.4					
"FRA"	"4-6"	86	-0.4	"FRA-MAE"	0.333	42.400001525878906	38.0	38.0
"GRC"	"40-1"	39	-0.75	"GRE-MOI"				
"GRC"	"40-2"	39	-0.75	"GRE-MOF"				
"GRC"	"40-3"	39	-0.75	"GRE-MFA"	0.111	3.609999895095825		
"GRC"	"40-4"	39	-0.75	"GRE-DEF"				
"GRC"	"40-6"	39	-0.75	"GRE-MEECC"				
"GRC"	"40-7"	39	-0.75	"GRE-ELR"				
"DEU"	"5-1"	56	0.27	"DEU-BMZ"	0.333	45.900001525878906		
"DEU"	"5-2"	56	0.27	"DEU-KFW"	0.111	50.79999923706055	59.0	59.0
"DEU"	"5-34"	56	0.27	"DEU-AG"				
"DEU"	"5-4"	56	0.27	"DEU-DEG"				
"DEU"	"5-5"	56	0.27	"DEU-MOF"				
"DEU"	"5-52"	56	0.27	"DEU-GIZ"	0.444		63.2	63.2
"DEU"	"5-7"	56	0.27	"DEU-MFA"		10.039999961853027		
"DEU"	"5-9"	56	0.27	"DEU-MOE"				
"ESP"	"50-1"	39	0.41	"ESP-ICO"				
"ESP"	"50-11"	39	0.41	"ESP-MOH"				
"ESP"	"50-12"	39	0.41	"ESP-MLSA"				
"ESP"	"50-13"	39	0.41	"ESP-MOI"				
"ESP"	"50-14"	39	0.41	"ESP-MPA"				
"ESP"	"50-18"	39	0.41	"ESP-MSY"				
"ESP"	"50-19"	39	0.41	"ESP-DEF"				
